Experiment,Metabolite,Concentration_ASICS_FID,Concentration_ASICS_CSV,Concentration_GS,Diff_FID_GS,Diff_CSV_GS,Diff_FID_CSV,Error_FID_Pct,Error_CSV_Pct
01RCF,Citrate,2030.71616676957,10960.533585261,3886.5,1855.78383323043,7074.033585261001,8929.817418491431,47.74948753969973,182.01553030389812
01RCF,Creatine,1326.62307767821,3736.89600080405,215.4,1111.2230776782098,3521.49600080405,2410.27292312584,515.8881511969405,1634.8635101225857
01RCF,Creatinine,5878.36109582494,120826.437446869,24012.6,18134.238904175058,96813.837446869,114948.07635104406,75.51968093490525,403.1793202188393
01RCF,Cytosine,0.0,26516.6910776538,0.0,0.0,26516.6910776538,26516.6910776538,,
01RCF,D-Fructose,1136.85476786869,7750.53141724093,0.0,1136.85476786869,7750.53141724093,6613.67664937224,,
01RCF,D-Fucose,608.449346300843,1893.47316986967,0.0,608.449346300843,1893.47316986967,1285.023823568827,,
01RCF,D-Galactose,0.0,3357.74186032764,0.0,0.0,3357.74186032764,3357.74186032764,,
01RCF,D-Gluconate,376.456873571563,11134.5764227819,0.0,376.456873571563,11134.5764227819,10758.119549210336,,
01RCF,D-Glucose,385.107976023206,8255.5188589324,0.0,385.107976023206,8255.5188589324,7870.410882909195,,
01RCF,D-Glucose-6-Phosphate,1050.12994586425,7454.44235725773,0.0,1050.12994586425,7454.44235725773,6404.31241139348,,
01RCF,D-Glucuronate,911.272834951322,6060.78235187244,0.0,911.272834951322,6060.78235187244,5149.509516921118,,
01RCF,D-Maltose,394.617694437042,78.7434131620704,0.0,394.617694437042,78.7434131620704,315.8742812749716,,
01RCF,D-Mannose,0.0,5053.84860827823,0.0,0.0,5053.84860827823,5053.84860827823,,
01RCF,D-Sorbitol,384.754219030932,2644.07546177237,0.0,384.754219030932,2644.07546177237,2259.3212427414383,,
01RCF,Dihydrothymine,466.204907408721,1608.47998063749,0.0,466.204907408721,1608.47998063749,1142.2750732287689,,
01RCF,Dimethylamine,0.0,6458.54009573264,759.3,759.3,5699.24009573264,6458.54009573264,100.0,750.5913467315474
01RCF,Dimethylglycine,0.0,245.303005803142,0.0,0.0,245.303005803142,245.303005803142,,
01RCF,Dimethylsulfone,49.2923190499533,1228.44898028654,0.0,49.2923190499533,1228.44898028654,1179.1566612365868,,
01RCF,Ethanolamine,1031.47667280004,9460.50885901954,979.4,52.07667280004,8481.10885901954,8429.0321862195,5.3172016336573416,865.9494444577844
01RCF,Ethylmalonate,0.0,690.371098674332,0.0,0.0,690.371098674332,690.371098674332,,
01RCF,Formate,329.44817824836,2924.63285804939,515.2,185.75182175164002,2409.4328580493902,2595.18467980103,36.05431322819099,467.66942120523873
01RCF,Fumarate,0.0,22.380326921978,0.0,0.0,22.380326921978,22.380326921978,,
01RCF,GABA,214.906269007816,4618.53680134868,0.0,214.906269007816,4618.53680134868,4403.630532340863,,
01RCF,GDP,0.0,47.1265781957637,0.0,0.0,47.1265781957637,47.1265781957637,,
01RCF,GMP,303.723982257576,464.520491027673,0.0,303.723982257576,464.520491027673,160.79650877009703,,
01RCF,GTP,0.0,1285.06552728236,0.0,0.0,1285.06552728236,1285.06552728236,,
01RCF,Galactitol,158.668746852889,4117.26146626321,0.0,158.668746852889,4117.26146626321,3958.5927194103215,,
01RCF,Glutaconate,0.0,1574.98159598531,0.0,0.0,1574.98159598531,1574.98159598531,,
01RCF,Glycerate,1012.20251304237,0.0,0.0,1012.20251304237,0.0,1012.20251304237,,
01RCF,Glycerol,1043.60054258901,6002.90433381067,0.0,1043.60054258901,6002.90433381067,4959.3037912216605,,
01RCF,Glycerophosphocholine,111.2399207294,379.527338827209,0.0,111.2399207294,379.527338827209,268.287418097809,,
01RCF,Glycogen,707.826041938651,1872.02145728325,0.0,707.826041938651,1872.02145728325,1164.195415344599,,
01RCF,Glycolate,0.0,23920.0792551569,1226.6,1226.6,22693.4792551569,23920.0792551569,100.0,1850.1124453902576
01RCF,Guanidinoacetate,0.0,8525.91432896693,0.0,0.0,8525.91432896693,8525.91432896693,,
01RCF,Hippurate,3765.5424673218,9741.46236464434,4653.1,887.5575326782005,5088.362364644339,5975.919897322539,19.074542405669348,109.35424479689537
01RCF,Homovanillate,109.387675999424,1386.23458769578,0.0,109.387675999424,1386.23458769578,1276.846911696356,,
01RCF,Hypotaurine,205.218070248505,2060.50339934482,0.0,205.218070248505,2060.50339934482,1855.285329096315,,
01RCF,Hypoxanthine,0.0,611.545391672101,119.9,119.9,491.645391672101,611.545391672101,100.0,410.04619822527195
01RCF,IMP,0.0,74.729964012583,0.0,0.0,74.729964012583,74.729964012583,,
01RCF,Indoxylsulfate,456.19104742186,2520.02824557336,0.0,456.19104742186,2520.02824557336,2063.8371981515,,
01RCF,Inosine,0.0,1064.69888056051,0.0,0.0,1064.69888056051,1064.69888056051,,
01RCF,Isobutyrate,0.0,804.759825562905,0.0,0.0,804.759825562905,804.759825562905,,
01RCF,Isocitrate,0.0,7334.87634889928,0.0,0.0,7334.87634889928,7334.87634889928,,
01RCF,Isovalerate,97.2743291389239,922.214316077438,0.0,97.2743291389239,922.214316077438,824.939986938514,,
01RCF,Kynurenate,0.0,288.78910890939,0.0,0.0,288.78910890939,288.78910890939,,
01RCF,L-Alanine,485.733077128873,1628.27978193476,0.0,485.733077128873,1628.27978193476,1142.546704805887,,
01RCF,L-Anserine,334.697852431657,1831.89273597692,0.0,334.697852431657,1831.89273597692,1497.194883545263,,
01RCF,L-Arabitol,0.0,3222.02925602539,0.0,0.0,3222.02925602539,3222.02925602539,,
01RCF,L-Arginine,1100.62813440331,2213.50030634072,0.0,1100.62813440331,2213.50030634072,1112.8721719374098,,
01RCF,L-Asparagine,916.671400813635,5344.58440754538,0.0,916.671400813635,5344.58440754538,4427.913006731745,,
01RCF,L-Aspartate,1214.03573771089,6326.17016168126,0.0,1214.03573771089,6326.17016168126,5112.134423970369,,
01RCF,L-Carnitine,142.73696481239,935.262538455737,0.0,142.73696481239,935.262538455737,792.5255736433469,,
01RCF,L-Carnosine,258.721965612242,934.955206207668,0.0,258.721965612242,934.955206207668,676.233240595426,,
01RCF,L-Citrulline,907.739194985217,4850.32136517696,0.0,907.739194985217,4850.32136517696,3942.582170191743,,
01RCF,L-Cysteine,1150.59127244227,11796.1294195556,0.0,1150.59127244227,11796.1294195556,10645.53814711333,,
01RCF,L-Cystine,273.858984589013,5416.34483968003,0.0,273.858984589013,5416.34483968003,5142.485855091018,,
01RCF,L-Glutamate,1783.04309008215,4861.60549361839,0.0,1783.04309008215,4861.60549361839,3078.56240353624,,
01RCF,L-Glutamine,1143.79424342254,6204.3298717283,0.0,1143.79424342254,6204.3298717283,5060.53562830576,,
01RCF,L-Glutathione-oxidized,222.512115361501,2508.93607312883,0.0,222.512115361501,2508.93607312883,2286.423957767329,,
01RCF,L-Glutathione-reduced,0.0,1331.60781854831,0.0,0.0,1331.60781854831,1331.60781854831,,
01RCF,L-Glycine,0.0,15543.3204474895,0.0,0.0,15543.3204474895,15543.3204474895,,
01RCF,L-Histidine,333.430451392824,3560.12768105752,0.0,333.430451392824,3560.12768105752,3226.697229664696,,
01RCF,L-Isoleucine,183.787886366808,420.752434359151,0.0,183.787886366808,420.752434359151,236.96454799234297,,
01RCF,L-Leucine,190.1210296185,1110.71978174612,0.0,190.1210296185,1110.71978174612,920.59875212762,,
01RCF,L-Lysine,1031.65737749086,3815.40375141231,0.0,1031.65737749086,3815.40375141231,2783.74637392145,,
01RCF,L-Methionine,0.0,1641.88687334281,0.0,0.0,1641.88687334281,1641.88687334281,,
01RCF,L-Ornithine,0.0,4039.44901188191,0.0,0.0,4039.44901188191,4039.44901188191,,
01RCF,L-Phenylalanine,452.019105964731,2852.62305355892,0.0,452.019105964731,2852.62305355892,2400.6039475941893,,
01RCF,L-Proline,1340.85978649036,12056.6398232553,0.0,1340.85978649036,12056.6398232553,10715.78003676494,,
01RCF,L-Serine,0.0,17181.1846411819,0.0,0.0,17181.1846411819,17181.1846411819,,
01RCF,L-Threonine,559.81901477282,1720.01581511536,0.0,559.81901477282,1720.01581511536,1160.19680034254,,
01RCF,L-Tryptophane,689.72875520344,3263.48739484744,0.0,689.72875520344,3263.48739484744,2573.758639644,,
01RCF,L-Tyrosine,0.0,1281.78185399416,0.0,0.0,1281.78185399416,1281.78185399416,,
01RCF,L-Valine,0.0,983.839770835278,0.0,0.0,983.839770835278,983.839770835278,,
01RCF,Lactate,0.0,5109.66115443565,44.3,44.3,5065.36115443565,5109.66115443565,100.0,11434.223824911174
01RCF,Lactose,1255.35684587799,7211.61216399885,0.0,1255.35684587799,7211.61216399885,5956.25531812086,,
01RCF,Levoglucosan,594.634086846791,3883.2459519021,0.0,594.634086846791,3883.2459519021,3288.611865055309,,
01RCF,Levulinate,94.3231246818881,263.548532119366,0.0,94.3231246818881,263.548532119366,169.22540743747788,,
01RCF,Malate,0.0,5571.77771355457,0.0,0.0,5571.77771355457,5571.77771355457,,
01RCF,Malonate,357.605784508392,0.0,685.2,327.59421549160805,685.2,357.605784508392,47.81001393631174,100.0
01RCF,Mandelate,156.022228085191,0.0,0.0,156.022228085191,0.0,156.022228085191,,
01RCF,Methylamine,0.0,1006.98904568648,0.0,0.0,1006.98904568648,1006.98904568648,,
01RCF,Methylguanidine,112.147429085215,1966.22158968227,0.0,112.147429085215,1966.22158968227,1854.074160597055,,
01RCF,Methylmalonate,83.3912690155217,2679.08308726344,0.0,83.3912690155217,2679.08308726344,2595.6918182479185,,
01RCF,Myo-Inositol,590.316375004595,5040.65850304404,0.0,590.316375004595,5040.65850304404,4450.342128039445,,
01RCF,N-(2-Furoyl)Glycine,256.622278730123,726.636169216821,0.0,256.622278730123,726.636169216821,470.013890486698,,
01RCF,N-Acetyl-L-Aspartate,142.626437210678,5144.35815303069,0.0,142.626437210678,5144.35815303069,5001.731715820012,,
01RCF,N-Acetylglycine,371.66761783061,3013.00652137936,0.0,371.66761783061,3013.00652137936,2641.33890354875,,
01RCF,NADP,0.0,0.0568522196321375,0.0,0.0,0.0568522196321375,0.0568522196321375,,
01RCF,Nicotinate,0.0,3.89525503464296,0.0,0.0,3.89525503464296,3.89525503464296,,
01RCF,Nicotinurate,0.0,0.263328575496967,0.0,0.0,0.263328575496967,0.263328575496967,,
01RCF,O-Acetyl-L-Carnitine,79.3855601878584,1953.88016045398,0.0,79.3855601878584,1953.88016045398,1874.4946002661216,,
01RCF,Pantothenate,0.0,783.451519503305,72.2,72.2,711.251519503305,783.451519503305,100.0,985.1129078993143
01RCF,Phenethylamine,329.796211634769,8500.18214524583,0.0,329.796211634769,8500.18214524583,8170.385933611061,,
01RCF,Phenylglyoxylate,349.430534853008,1950.27838651778,0.0,349.430534853008,1950.27838651778,1600.847851664772,,
01RCF,Phosphocholine,0.0,1465.0140941592,0.0,0.0,1465.0140941592,1465.0140941592,,
01RCF,Pimelate,221.370125680701,0.0,0.0,221.370125680701,0.0,221.370125680701,,
01RCF,PropyleneGlycol,252.892066336609,1142.54582122757,0.0,252.892066336609,1142.54582122757,889.6537548909611,,
01RCF,Putrescine,572.061596057656,2191.08668337226,0.0,572.061596057656,2191.08668337226,1619.0250873146038,,
01RCF,Pyrocatechol,184.487317213838,1392.93117759336,0.0,184.487317213838,1392.93117759336,1208.443860379522,,
01RCF,Pyroglutamate,1045.62931633811,3877.88140718988,502.6,543.0293163381099,3375.28140718988,2832.25209085177,108.04403428931752,671.5641478690569
01RCF,Pyruvate,0.0,499.124290536785,0.0,0.0,499.124290536785,499.124290536785,,
01RCF,Quinolinate,0.0,1462.07608682436,0.0,0.0,1462.07608682436,1462.07608682436,,
01RCF,S-Acetamidomethylcysteine,194.855560019889,1464.48180198681,0.0,194.855560019889,1464.48180198681,1269.626241966921,,
01RCF,Saccarate,716.220631053004,8848.67622824952,0.0,716.220631053004,8848.67622824952,8132.4555971965165,,
01RCF,Sarcosine,0.0,1566.94397404984,0.0,0.0,1566.94397404984,1566.94397404984,,
01RCF,Saturated_fattty_acids,134.964241821335,1435.91344908117,0.0,134.964241821335,1435.91344908117,1300.949207259835,,
01RCF,Sebacate,0.0,274.294299329072,0.0,0.0,274.294299329072,274.294299329072,,
01RCF,Spermidine,283.448946155365,2644.89974252666,0.0,283.448946155365,2644.89974252666,2361.450796371295,,
01RCF,Succinate,0.0,316.090371280542,58.4,58.4,257.690371280542,316.090371280542,100.0,441.25063575435274
01RCF,Syringate,306.308963499731,1223.49500090302,0.0,306.308963499731,1223.49500090302,917.1860374032889,,
01RCF,TMAO,748.968953503383,634.12548770753,0.0,748.968953503383,634.12548770753,114.84346579585292,,
01RCF,Tartarate,0.0,1064.20501425133,0.0,0.0,1064.20501425133,1064.20501425133,,
01RCF,Taurine,2064.74836562732,19318.1267760495,2148.6,83.85163437268011,17169.5267760495,17253.378410422178,3.9026172564777117,799.1029868774784
01RCF,Threitol,1066.66372160999,6208.01439205347,0.0,1066.66372160999,6208.01439205347,5141.35067044348,,
01RCF,Threonate,1432.34084895401,19235.3915727742,0.0,1432.34084895401,19235.3915727742,17803.05072382019,,
01RCF,Trans-Acotinate,0.0,2895.75164872919,0.0,0.0,2895.75164872919,2895.75164872919,,
01RCF,Trigonelline,1427.90956415214,792.35991695209,1538.7,110.79043584785995,746.3400830479101,635.5496472000501,7.200262289456032,48.50458718710015
01RCF,Trimethylamine,84.2938004413551,627.901200873609,0.0,84.2938004413551,627.901200873609,543.6074004322539,,
01RCF,UDP,247.658932914655,566.871009769082,0.0,247.658932914655,566.871009769082,319.212076854427,,
01RCF,UDPG,194.839081925943,233.661161555896,0.0,194.839081925943,233.661161555896,38.82207962995301,,
01RCF,UMP,280.509826962372,376.323827638565,0.0,280.509826962372,376.323827638565,95.81400067619296,,
01RCF,UTP,174.192643981524,1439.02299763388,0.0,174.192643981524,1439.02299763388,1264.830353652356,,
01RCF,Uracil,1042.04361909518,18885.6038443532,181.8,860.2436190951801,18703.803844353202,17843.56022525802,473.1813086332123,10288.12092648691
01RCF,Uridine,386.412462035985,699.323154852169,46.3,340.112462035985,653.023154852169,312.91069281618394,734.5841512656264,1410.4171811061967
01RCF,Urocanate,0.0,2238.94449628954,25.0,25.0,2213.94449628954,2238.94449628954,100.0,8855.77798515816
01RCF,Valerate,232.584736604156,1055.91883334881,0.0,232.584736604156,1055.91883334881,823.3340967446541,,
01RCF,Vanillate,214.976271477538,1310.14590709887,0.0,214.976271477538,1310.14590709887,1095.1696356213322,,
01RCF,Xylitol,291.138457890782,7219.30217612643,498.6,207.46154210921804,6720.70217612643,6928.163718235648,41.60881309851946,1347.91459609435
01RCF,alpha-Hydroxyisobutyrate,151.416550329039,1135.84871501521,0.0,151.416550329039,1135.84871501521,984.4321646861711,,
01RCF,dAMP,0.0,3.66239809043155,0.0,0.0,3.66239809043155,3.66239809043155,,
01RCF,trans-4-Hydroxy-L-Proline,460.775089302597,3158.23097358878,0.0,460.775089302597,3158.23097358878,2697.4558842861834,,
01RCF,trans-Ferulate,0.0,1737.60265263987,0.0,0.0,1737.60265263987,1737.60265263987,,
02RCF,"1,3-Diaminopropane",994.634762523945,5910.29397537815,0.0,994.634762523945,5910.29397537815,4915.659212854205,,
02RCF,1-Methyl-L-Histidine,681.375388157089,7355.12011381491,0.0,681.375388157089,7355.12011381491,6673.744725657821,,
02RCF,1-Methylhydantoin,262.417899572746,4466.48820808522,0.0,262.417899572746,4466.48820808522,4204.070308512474,,
02RCF,2-AminoAdipate,884.028282873458,6456.80701916821,0.0,884.028282873458,6456.80701916821,5572.778736294752,,
02RCF,2-Aminobutyrate,0.0,870.042854039074,0.0,0.0,870.042854039074,870.042854039074,,
02RCF,2-Deoxyadenosine,278.071708728886,432.251939237384,0.0,278.071708728886,432.251939237384,154.18023050849803,,
02RCF,2-Deoxycytidine,0.0,4428.62112935823,0.0,0.0,4428.62112935823,4428.62112935823,,
02RCF,2-Deoxyguanosine,0.0,1381.40089115566,0.0,0.0,1381.40089115566,1381.40089115566,,
02RCF,2-Hydroxybutyrate,242.33245351167,0.0,0.0,242.33245351167,0.0,242.33245351167,,
02RCF,2-HydroxyphenylAcetate,168.173994089936,133.486824335084,0.0,168.173994089936,133.486824335084,34.68716975485199,,
02RCF,2-Methylglutarate,0.0,527.782744213409,0.0,0.0,527.782744213409,527.782744213409,,
02RCF,2-Oxobutyrate,201.301850476314,1781.06710572204,0.0,201.301850476314,1781.06710572204,1579.765255245726,,
02RCF,2-Oxoglutarate,291.05208680773,6039.11206767813,200.0,91.05208680773,5839.11206767813,5748.0599808704,45.526043403865,2919.556033839065
02RCF,2-Oxoisovalerate,0.0,1255.03229538934,0.0,0.0,1255.03229538934,1255.03229538934,,
02RCF,2-Picolinate,0.0,94.3508015834879,0.0,0.0,94.3508015834879,94.3508015834879,,
02RCF,2-Propanol,81.6986920882692,441.634042120442,0.0,81.6986920882692,441.634042120442,359.93535003217283,,
02RCF,3-Hydroxybutyrate,0.0,2092.02758835731,49.4,49.4,2042.6275883573098,2092.02758835731,100.0,4134.873660642328
02RCF,3-HydroxyphenylAcetate,0.0,1198.79786734888,0.0,0.0,1198.79786734888,1198.79786734888,,
02RCF,3-Methyl-L-Histidine,772.166589379296,37182.8099559478,0.0,772.166589379296,37182.8099559478,36410.6433665685,,
02RCF,3-Methyladipate,274.56453083073,2213.32093010138,0.0,274.56453083073,2213.32093010138,1938.7563992706498,,
02RCF,3-Methylxanthine,0.0,3599.16966433866,0.0,0.0,3599.16966433866,3599.16966433866,,
02RCF,3-PhenylPropionate,267.334138860076,2452.71354507769,0.0,267.334138860076,2452.71354507769,2185.379406217614,,
02RCF,4-AminoHippurate,148.645456126915,1786.02757506267,0.0,148.645456126915,1786.02757506267,1637.382118935755,,
02RCF,4-EthylPhenol,160.897631347972,1816.04218510472,0.0,160.897631347972,1816.04218510472,1655.1445537567479,,
02RCF,4-HydroxyphenylAcetate,489.950601809583,1679.39932147043,0.0,489.950601809583,1679.39932147043,1189.448719660847,,
02RCF,5-AminoValerate,371.98736812846,1706.30438870005,0.0,371.98736812846,1706.30438870005,1334.3170205715899,,
02RCF,7-Methylxanthine,0.0,1505.7722431374,0.0,0.0,1505.7722431374,1505.7722431374,,
02RCF,ATP,0.0,491.604929674145,0.0,0.0,491.604929674145,491.604929674145,,
02RCF,Acetaminophen,0.0,367.837167999421,0.0,0.0,367.837167999421,367.837167999421,,
02RCF,Acetate,199.377451476697,2144.11611499558,132.4,66.97745147669698,2011.71611499558,1944.7386635188832,50.58719900052642,1519.423047579743
02RCF,Acetoacetate,119.403815314686,756.01497331386,55.1,64.303815314686,700.91497331386,636.611157999174,116.70383904661708,1272.0779914952086
02RCF,Acetone,86.5817669867603,321.442115915296,43.1,43.4817669867603,278.34211591529595,234.86034892853567,100.88577027090557,645.8053733533549
02RCF,Adenine,242.068964081482,899.04264940122,0.0,242.068964081482,899.04264940122,656.973685319738,,
02RCF,Adenosine,163.813088330389,956.381966435173,0.0,163.813088330389,956.381966435173,792.5688781047841,,
02RCF,Adipate,250.505938426211,725.174021155002,0.0,250.505938426211,725.174021155002,474.66808272879103,,
02RCF,Allantoin,0.0,3496.68269494622,0.0,0.0,3496.68269494622,3496.68269494622,,
02RCF,Argininosuccinate,0.0,2554.10495205633,0.0,0.0,2554.10495205633,2554.10495205633,,
02RCF,Ascorbate,678.490951605381,42.9093634530622,0.0,678.490951605381,42.9093634530622,635.5815881523189,,
02RCF,Benzoate,0.0,751.195325806364,0.0,0.0,751.195325806364,751.195325806364,,
02RCF,Beta-Alanine,1363.13766205492,8953.00155631872,0.0,1363.13766205492,8953.00155631872,7589.863894263801,,
02RCF,Betaine,0.0,4283.58431605369,127.5,127.5,4156.08431605369,4283.58431605369,100.0,3259.6739733754425
02RCF,CDP,0.0,765.931491679984,0.0,0.0,765.931491679984,765.931491679984,,
02RCF,CMP,0.0,831.818234736497,0.0,0.0,831.818234736497,831.818234736497,,
02RCF,CTP,0.0,47.4555638305981,0.0,0.0,47.4555638305981,47.4555638305981,,
02RCF,Cadaverine,0.0,783.156229110476,0.0,0.0,783.156229110476,783.156229110476,,
02RCF,CholineChloride,142.604980366274,2574.02023444251,0.0,142.604980366274,2574.02023444251,2431.415254076236,,
02RCF,Citraconate,0.0,198.731682368565,0.0,0.0,198.731682368565,198.731682368565,,
02RCF,Citrate,693.596049356594,4598.03280330224,1742.3,1048.703950643406,2855.7328033022395,3904.4367539456457,60.1907794664183,163.90591765495262
02RCF,Creatine,0.0,15914.5097832402,965.6,965.6,14948.9097832402,15914.5097832402,100.0,1548.1472435004348
02RCF,Creatinine,22656.4222577883,338374.919256005,14392.1,8264.3222577883,323982.81925600505,315718.4969982167,57.42262948275999,2251.115676350255
02RCF,Cytosine,0.0,3570.6997664157,0.0,0.0,3570.6997664157,3570.6997664157,,
02RCF,D-Fructose,0.0,1599.0671714285,0.0,0.0,1599.0671714285,1599.0671714285,,
02RCF,D-Fucose,785.595202147787,1907.70624536568,0.0,785.595202147787,1907.70624536568,1122.111043217893,,
02RCF,D-Galactose,0.0,1915.32736605701,0.0,0.0,1915.32736605701,1915.32736605701,,
02RCF,D-Gluconate,0.0,7070.2451895923,0.0,0.0,7070.2451895923,7070.2451895923,,
02RCF,D-Glucose,689.108925256336,5866.97074040764,0.0,689.108925256336,5866.97074040764,5177.861815151304,,
02RCF,D-Glucose-6-Phosphate,582.851626993723,10846.929736738,0.0,582.851626993723,10846.929736738,10264.078109744278,,
02RCF,D-Glucuronate,909.654006306565,5989.1136341984,0.0,909.654006306565,5989.1136341984,5079.459627891835,,
02RCF,D-Maltose,0.0,1642.56744188816,0.0,0.0,1642.56744188816,1642.56744188816,,
02RCF,D-Mannose,0.0,4261.3570653616,0.0,0.0,4261.3570653616,4261.3570653616,,
02RCF,D-Sorbitol,595.701518347396,10334.4492022914,0.0,595.701518347396,10334.4492022914,9738.747683944004,,
02RCF,DehydroAscorbate,1057.81166476038,6656.66590746274,0.0,1057.81166476038,6656.66590746274,5598.854242702359,,
02RCF,Dihydrothymine,191.906827236696,1278.09447971067,0.0,191.906827236696,1278.09447971067,1086.187652473974,,
02RCF,Dimethylamine,104.316596826925,7960.19044592568,449.1,344.78340317307504,7511.09044592568,7855.873849098755,76.77207819485082,1672.4761625307683
02RCF,Dimethylglycine,136.362363986387,619.673125206147,0.0,136.362363986387,619.673125206147,483.31076121976,,
02RCF,Dimethylsulfone,154.937415427901,2079.20952750915,0.0,154.937415427901,2079.20952750915,1924.2721120812491,,
02RCF,Ethanolamine,1456.88561136431,14720.6859294296,662.5,794.3856113643101,14058.1859294296,13263.800318065289,119.90726209272604,2121.9903289705053
02RCF,Ethylmalonate,142.993064580916,1837.63243358871,0.0,142.993064580916,1837.63243358871,1694.639369007794,,
02RCF,Formate,875.648994938724,9221.42413409191,775.6,100.04899493872392,8445.82413409191,8345.775139153187,12.899560977143363,1088.9407083666722
